"drug_concept_name","drug_concept_id","UCLH","UHB"
"Cinchocaine 0.5% / Hydrocortisone 0.5% ointment",21180993,"306","<=10"
"Cinchocaine 0.5% / Prednisolone 0.19% ointment",21292883,"16","<=10"
"Cinchocaine 1mg / Prednisolone hexanoate 1.3mg suppositories",21292882,"<=10","<=10"
"Cinchocaine 5mg / Hydrocortisone 5mg suppositories",21199853,"<=10","<=10"
"Cinnarizine",21234948,"<=10","778"
"Cinnarizine 15mg tablets",21237182,"224","<=10"
"Ciprofibrate",21216422,"<=10","<=10"
"Ciprofibrate-containing product",4156241,"<=10","36"
"Ciprofibrate 100mg tablets",21293029,"56","<=10"
"Ciprofloxacin",21309497,"<=10","27036"
"Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops",21291212,"330","<=10"
"Ciprofloxacin 0.3% eye drops",21274086,"223","<=10"
"Ciprofloxacin 200mg/100ml solution for infusion vials",21273434,"415","<=10"
"Ciprofloxacin 250mg tablets",21200006,"714","<=10"
"Ciprofloxacin 250mg/5ml oral suspension",21255483,"449","<=10"
"Ciprofloxacin 2mg/ml ear drops 0.25ml unit dose preservative free",40699782,"<=10","<=10"
"Ciprofloxacin 400mg/200ml solution for infusion vials",21199052,"8179","<=10"
"Ciprofloxacin 500mg tablets",21311740,"6406","<=10"
"Cisplatin",21178911,"<=10","330"
"Cisplatin 100mg/100ml solution for infusion vials",21180700,"919","<=10"
"Cisplatin 10mg/10ml solution for infusion vials",21199545,"154","<=10"
"Cisplatin 50mg/50ml solution for infusion vials",21199547,"81","<=10"
"Citalopram",21216423,"<=10","16353"
"Citalopram 10mg tablets",21181148,"2313","<=10"
"Citalopram 20mg tablets",21311721,"4529","<=10"
"Citalopram 40mg tablets",21237164,"95","<=10"
"Citalopram 40mg/ml oral drops sugar free",21311549,"269","<=10"
"Citric acid 17.79g / Magnesium carbonate 11.57g effervescent powder sachets sugar free",21180778,"<=10","<=10"
"Cladribine 10mg/5ml solution for injection vials",21217772,"<=10","<=10"
"Clarithromycin",21253514,"<=10","17813"
"Clarithromycin 125mg/5ml oral suspension",40699729,"16","<=10"
"Clarithromycin 250mg tablets",21218638,"368","<=10"
"Clarithromycin 500mg powder for solution for infusion vials",21274206,"2272","<=10"
"Clarithromycin 500mg tablets",21293009,"4072","<=10"
"Clemastine 1mg tablets",21180879,"<=10","<=10"
"Clindamycin",21197727,"<=10","17709"
"Clindamycin 1% alcoholic solution",36815615,"23","<=10"
"Clindamycin 1% gel",21292728,"92","<=10"
"Clindamycin 150mg capsules",21218405,"3421","<=10"
"Clindamycin 2% cream",4210225,"<=10","<=10"
"Clindamycin 300mg/2ml solution for injection ampoules",36815616,"3860","<=10"
"Clindamycin 600mg/4ml solution for injection ampoules",36815623,"308","<=10"
"Clindamycin 75mg/5ml oral suspension",21236453,"115","<=10"
"Clindamycin phosphate",21234438,"<=10","48"
"Clinitas Carbomer 0.2% eye gel",21390614,"<=10","97"
"Clobazam",21178914,"<=10","2269"
"Clobazam-containing product",4320345,"<=10","<=10"
"Clobazam 10mg tablets",21311638,"4477","<=10"
"Clobazam 10mg/5ml oral suspension sugar free",21310055,"539","<=10"
"Clobazam 5mg/5ml oral suspension sugar free",21235517,"31","<=10"
"Clobetasol",21197728,"<=10","1214"
"Clobetasol 0.05% cream",21255696,"919","<=10"
"Clobetasol 0.05% ointment",21237120,"1163","<=10"
"Clobetasol 0.05% scalp application",21274315,"61","<=10"
"Clobetasone 0.05% / Oxytetracycline 3% / Nystatin 100,000units/g cream",21292964,"507","<=10"
"Clobetasone 0.05% cream",21292980,"911","930"
"Clobetasone 0.05% ointment",21237117,"197","<=10"
"Clobetasone butyrate",21234393,"<=10","124"
"Clofazimine",21272144,"<=10","132"
"Clofazimine 100mg capsules",21180806,"130","<=10"
"Clomipramine",21290787,"<=10","192"
"Clomipramine 10mg capsules",21293053,"17","<=10"
"Clomipramine 25mg capsules",21255775,"16","<=10"
"Clomipramine 50mg capsules",21218695,"54","<=10"
"Clonazepam",21272148,"<=10","3696"
"Clonazepam-containing product",4288287,"<=10","56"
"Clonazepam 1mg/1ml solution for injection ampoules and diluent",21218294,"61","<=10"
"Clonazepam 2.5mg/ml drops",21291320,"<=10","<=10"
"Clonazepam 2mg tablets",21292958,"852","<=10"
"Clonazepam 2mg/5ml oral solution sugar free",21217126,"73","<=10"
"Clonazepam 500microgram tablets",21237091,"3958","<=10"
"Clonidine",21272145,"<=10","<=10"
"Clonidine 100microgram tablets",21199961,"502","<=10"
"Clonidine 150micrograms/1ml solution for injection ampoules",36815638,"42990","<=10"
"Clonidine 25microgram tablets",21292952,"3540","<=10"
"Clonidine hydrochloride",21197152,"<=10","25878"
"Clopidogrel",21253520,"<=10","22276"
"Clopidogrel 75mg tablets",21237109,"14320","<=10"
"Clotrimazole",21272146,"<=10","8655"
"Clotrimazole 1% / Hydrocortisone 1% cream",21274387,"379","603"
"Clotrimazole 1% cream",21181107,"2465","<=10"
"Clotrimazole 1% solution",21199724,"102","<=10"
"Clotrimazole 100mg pessaries",21274331,"62","<=10"
"Clotrimazole 2% cream",21218520,"339","<=10"
"Clotrimazole 200mg pessaries",21237131,"<=10","<=10"
"Clotrimazole 500mg pessaries",21181108,"26","<=10"
"Clozapine",21197730,"<=10","826"
"Clozapine 100mg tablets",21292716,"256","<=10"
"Clozapine 25mg tablets",21274052,"568","<=10"
"Co-amilofruse 2.5mg/20mg tablets",21255721,"124","173"
"Co-amilofruse 5mg/40mg tablets",21255722,"49","397"
"Co-amilozide 2.5mg/25mg tablets",21218651,"<=10","<=10"
"Co-amilozide 5mg/50mg tablets",21181110,"22","28"
"Co-amoxiclav",21235062,"<=10","101812"
"Co-amoxiclav 1000mg/200mg powder for solution for injection vials",21311529,"12369","<=10"
"Co-amoxiclav 125mg/31mg/5ml oral suspension sugar free",36815668,"26","<=10"
"Co-amoxiclav 250/125 tablets",21311729,"254","<=10"
"Co-amoxiclav 500/125 tablets",21181154,"22137","<=10"
"Co-amoxiclav 500mg/100mg powder for solution for injection vials",21218503,"18372","<=10"
"Co-beneldopa",21235063,"<=10","3812"
"Co-beneldopa 12.5mg/50mg capsules",21292924,"1030","2619"
"Co-beneldopa 12.5mg/50mg dispersible tablets",21237060,"1238","<=10"
"Co-beneldopa 25/100 modified-release capsules",21181039,"95","<=10"
"Co-beneldopa 25mg/100mg capsules",21218561,"1473","249"
"Co-beneldopa 25mg/100mg dispersible tablets",21237061,"925","<=10"
"Co-beneldopa 50mg/200mg capsules",21218562,"132","77"
"Co-careldopa",21272256,"<=10","149"
"Co-careldopa 10/100 tablets",21292925,"35","<=10"
"Co-careldopa 12.5/50 tablets",21218563,"3636","4275"
"Co-careldopa 25/100 modified-release tablets",21237056,"670","<=10"
"Co-careldopa 25/100 tablets",21292926,"7757","7722"
"Co-careldopa 25/250 tablets",21311599,"69","61"
"Co-careldopa 50/200 modified-release tablets",21199878,"555","<=10"
"Co-careldopa 5mg/20mg/1ml intestinal gel 100ml cassette",21217779,"71","<=10"
"Co-codamol 15mg/500mg tablets",21274066,"19","<=10"
"Co-codamol 30mg/500mg capsules",21274323,"100","<=10"
"Co-codamol 30mg/500mg effervescent tablets",21199946,"575","<=10"
"Co-codamol 30mg/500mg tablets",21274321,"1505","19252"
"Co-codamol 8mg/500mg effervescent tablets",21311681,"187","<=10"
"Co-codamol 8mg/500mg tablets",21199990,"559","1491"
"Co-cyprindiol 2000microgram/35microgram tablets",21311550,"<=10","<=10"
"Co-danthramer",21272258,"<=10","<=10"
"Co-danthramer 75mg/1000mg/5ml oral suspension sugar free",36815683,"<=10","<=10"
"Co-dydramol",21309615,"<=10","708"
"Co-dydramol 10mg/500mg tablets",21293030,"5205","15"
"Co-magaldrox 195mg/220mg/5ml oral suspension sugar free",21292891,"<=10","<=10"
"Co-tenidone 100mg/25mg tablets",21293041,"21","30"
"Co-tenidone 50mg/12.5mg tablets",21274378,"<=10","<=10"
"Co-trimoxazole",21179049,"<=10","11682"
"Co-trimoxazole 160mg/800mg tablets",21237021,"7224","<=10"
"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free",40699129,"29","<=10"
"Co-trimoxazole 80mg/400mg tablets",21237026,"2857","<=10"
"Co-trimoxazole 80mg/400mg/5ml oral suspension",21180988,"880","<=10"
"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules",21311436,"1287","<=10"
"Coagulation factor XIII-containing product",4203331,"<=10","<=10"
"Coal tar extract 5% shampoo",21237028,"<=10","<=10"
"Coal tar solution 5% cutaneous emulsion",21310242,"<=10","<=10"
"Cocaine 10% spray",21310725,"74","<=10"
"Cod liver oil",21309670,"<=10","<=10"
"Codeine",21178573,"<=10","758"
"Codeine 15mg tablets",21292998,"1168","<=10"
"Codeine 25mg/5ml oral solution",36815684,"217","<=10"
"Codeine 30mg tablets",21274334,"22115","<=10"
"Codeine phosphate",21215842,"<=10","133353"
"Colchicine",21235016,"<=10","1851"
"Colchicine-containing product",4249007,"<=10","385"
"Colchicine 500microgram tablets",21274236,"1965","<=10"
"Colecalciferol",21215876,"<=10","23588"
"Colecalciferol",21235032,"<=10","75"
"Colecalciferol + Calcium carbonate",21179017,"<=10","104497"
"Colecalciferol 1,000unit / Calcium carbonate 2.5g chewable tablets",21291184,"59","<=10"
"Colecalciferol 1,000unit capsules",21198509,"681","<=10"
"Colecalciferol 1,000unit tablets",21198510,"165","<=10"
"Colecalciferol 10,000unit capsules",21291577,"<=10","<=10"
"Colecalciferol 10,000units/5ml oral solution",21217039,"23","<=10"
"Colecalciferol 10,000units/ml oral drops sugar free",21291245,"<=10","<=10"
"Colecalciferol 10,000units/ml oral solution",21198480,"290","<=10"
"Colecalciferol 15,000units/5ml oral solution",21198985,"682","<=10"
"Colecalciferol 2,000unit tablets",21272695,"13","<=10"
"Colecalciferol 2,000units/ml oral drops sugar free",21198442,"<=10","<=10"
"Colecalciferol 2,400units/ml oral drops sugar free",21253997,"<=10","<=10"
"Colecalciferol 2,500unit capsules",21198471,"<=10","<=10"
"Colecalciferol 2,740units/ml oral drops sugar free",21235377,"165","<=10"
"Colecalciferol 20,000unit capsules",21217240,"1089","<=10"
"Colecalciferol 20,000unit tablets",21310091,"12","<=10"
"Colecalciferol 200unit / Calcium carbonate 1.25g chewable tablets",21181061,"1835","<=10"
"Colecalciferol 200unit / Calcium carbonate 750mg tablets",21310167,"210","<=10"
"Colecalciferol 200units/drop oral drops sugar free",21310001,"<=10","<=10"
"Colecalciferol 25,000unit capsules",40699468,"<=10","<=10"
"Colecalciferol 25,000unit tablets",21198219,"<=10","<=10"
"Colecalciferol 3,000unit capsules",21310185,"<=10","<=10"
"Colecalciferol 4,000unit capsules",40699451,"<=10","<=10"
"Colecalciferol 4,000unit tablets",40699448,"<=10","<=10"
"Colecalciferol 400unit / Calcium carbonate 1.25g chewable tablets",21311622,"2151","<=10"
"Colecalciferol 400unit / Calcium carbonate 1.25g tablets",21254271,"<=10","<=10"
"Colecalciferol 400unit / Calcium carbonate 1.5g chewable tablets",21292869,"23384","<=10"
"Colecalciferol 400unit / Calcium carbonate 1.5g effervescent tablets",21273056,"5982","<=10"
"Colecalciferol 400unit / Calcium carbonate 1.5g tablets",21310145,"368","<=10"
"Colecalciferol 400unit capsules",21291549,"21","<=10"
"Colecalciferol 400unit chewable tablets",40699909,"<=10","<=10"
"Colecalciferol 400unit tablets",21310166,"<=10","<=10"
"Colecalciferol 5,000unit capsules",21235641,"<=10","<=10"
"Colecalciferol 5,000unit tablets",21217098,"<=10","<=10"
"Colecalciferol 5,000units/5ml oral solution",21291356,"<=10","<=10"
"Colecalciferol 50,000unit capsules",21235724,"14","<=10"
"Colecalciferol 800unit / Calcium carbonate 1.25g chewable tablets",21254238,"26","<=10"
"Colecalciferol 800unit / Calcium carbonate 1.25g tablets",21310047,"<=10","<=10"
"Colecalciferol 800unit / Calcium carbonate 2.5g chewable tablets",21309961,"15","<=10"
"Colecalciferol 800unit / Calcium phosphate 3.1g oral powder sachets",21218287,"<=10","<=10"
"Colecalciferol 800unit capsules",21235580,"8724","<=10"
"Colecalciferol 800unit tablets",21310077,"3354","<=10"
"Colecalciferol 880unit / Calcium carbonate 2.5g chewable tablets",21272649,"98","<=10"
"Colesevelam",21253733,"<=10","180"
"Colesevelam 625mg tablets",21236033,"464","<=10"
"Colesevelam hydrochloride",21178615,"<=10","36"
"Colesevelam hydrochloride 625 mg oral tablet",4132527,"<=10","16"
"Colestipol",21178915,"<=10","151"
"Colestyramine",21179113,"<=10","1764"
"Colestyramine 4g oral powder sachets sugar free",21199766,"417","<=10"
"Colistimethate 1million unit injection vials",21218466,"58","<=10"
"Colistimethate 1million unit powder for nebuliser solution unit dose vials",21218286,"13","<=10"
"Colistimethate 2million unit powder for solution for injection vials",21292568,"168","<=10"
"Colistin",21272147,"<=10","823"
"Conjugated oestrogens",21272238,"<=10","247"
"Conjugated oestrogens 1.25mg tablets",21218522,"61","<=10"
"Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets",21218083,"<=10","<=10"
"Conjugated oestrogens 625microgram tablets",21274227,"66","<=10"
"Conotrane cream",21293715,"<=10","87"
"Copper",21179132,"<=10","238"
"Cortiment 9mg modified-release tablets",21205088,"<=10","35"
"Crisantaspase 10,000unit injection vials",21236691,"42","<=10"
"Crizotinib 250mg capsules",21272788,"64","<=10"
"Crotamiton",21290789,"<=10","377"
"Crotamiton 10% cream",21274233,"111","<=10"
"Cryoprecipitate",21309672,"<=10","1390"
"Crystacide 1% cream",21275751,"<=10","<=10"
"Cutimed Protect cream",21431814,"<=10","<=10"
"Cuvitru 1g/5ml solution for infusion vials",40699076,"16","<=10"
"Cuvitru 2g/10ml solution for infusion vials",40699074,"<=10","<=10"
"Cuvitru 8g/40ml solution for infusion vials",40699070,"16","<=10"
"Cyanocobalamin",21253521,"<=10","4048"
"Cyanocobalamin 1mg modified-release tablets",21255120,"<=10","<=10"
"Cyanocobalamin 1mg tablets",21217078,"<=10","<=10"
"Cyanocobalamin 50microgram tablets",21311554,"1288","<=10"
"Cyclizine",21253522,"<=10","25276"
"Cyclizine 50mg tablets",21218518,"14822","<=10"
"Cyclopentolate",21197733,"<=10","86"
"Cyclopentolate 0.5% eye drops 0.5ml unit dose preservative free",21199662,"21","<=10"
"Cyclopentolate 1% eye drops",21255766,"39","<=10"
"Cyclopentolate 1% eye drops 0.5ml unit dose preservative free",21311349,"27","<=10"
"Cyclophosphamide",21197734,"<=10","249"
"Cyclophosphamide 1g injection vials",21292438,"145","<=10"
"Cyclophosphamide 50mg tablets",21255455,"104","<=10"
"Cycloserine 250mg capsules",21273980,"58","<=10"
"Cyclosporine-containing product",4217147,"<=10","26"
"Cyproheptadine",21253524,"<=10","20"
"Cyproterone 100mg tablets",21311542,"77","<=10"
"Cyproterone 50mg tablets",21311540,"22","<=10"
"Cyproterone acetate",21178421,"<=10","68"
"Cytarabine",21197735,"<=10","634"
"Cytarabine 100mg/5ml solution for injection vials",21218208,"205","<=10"
"Cytarabine 1g/10ml solution for injection vials",36815721,"1626","<=10"
"Cytarabine 2g/20ml solution for injection vials",36815724,"706","<=10"
"Dabigatran etexilate",21179159,"<=10","959"
"Dabigatran etexilate 110mg capsules",21217355,"15","<=10"
"Dabigatran etexilate 150mg capsules",21254216,"59","<=10"
"Dabrafenib-containing product",45766481,"<=10","55"
"Dabrafenib 50mg capsules",21235461,"12","<=10"
"Dabrafenib 75mg capsules",21198300,"<=10","<=10"
"Dacarbazine",21272151,"<=10","<=10"
"Dacarbazine 100mg powder for solution for injection vials",21311091,"95","<=10"
"Dacarbazine 200mg powder for solution for injection vials",21199519,"180","<=10"
"Dactinomycin",21290792,"<=10","21"
"Dactinomycin 500microgram injection vials",21199536,"47","<=10"
"Dalbavancin 500mg powder for solution for infusion vials",40698931,"<=10","<=10"
"Dalteparin",21253687,"<=10","<=10"
"Dalteparin sodium 10,000units/4ml solution for injection ampoules",36815737,"<=10","<=10"
"Dalteparin sodium 12,500units/0.5ml solution for injection pre-filled syringes",36815738,"13","<=10"
"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes",36815739,"12","<=10"
"Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes",36815740,"528","<=10"
"Dalteparin sodium 7,500units/0.3ml solution for injection pre-filled syringes",21218165,"32","<=10"
"Danaparoid sodium 750units/0.6ml solution for injection ampoules",36815741,"59","<=10"
"Danazol",21216427,"<=10","28"
"Danazol 100mg capsules",21199818,"<=10","<=10"
"Dantrolene",21253525,"<=10","207"
"Dantrolene 20mg powder for solution for injection vials",21180719,"<=10","<=10"
"Dantrolene 25mg capsules",21181003,"78","<=10"
"Dapagliflozin",21253781,"<=10","595"
"Dapagliflozin 10mg tablets",21272770,"639","<=10"
"Dapagliflozin 5mg / Metformin 1g tablets",21216983,"<=10","<=10"
"Dapagliflozin 5mg tablets",21291390,"146","<=10"
"Dapsone",21197736,"<=10","161"
"Dapsone 100mg tablets",21274281,"45","<=10"
"Dapsone 50mg tablets",21237086,"22","<=10"
"Daptomycin",21253686,"<=10","400"
"Daptomycin",21271830,"<=10","<=10"
"Daptomycin 350mg powder for solution for infusion vials",21310784,"112","<=10"
"Daptomycin 500mg powder for solution for infusion vials",21292101,"169","<=10"
"Daratumumab 100mg/5ml solution for infusion vials",40698873,"903","<=10"
"Daratumumab 400mg/20ml solution for infusion vials",40698871,"132","<=10"
"Darbepoetin alfa",21253667,"<=10","1352"
"Darbepoetin alfa 100micrograms/0.5ml solution for injection pre-filled syringes",21180723,"<=10","<=10"
"Darbepoetin alfa 20micrograms/0.5ml solution for injection pre-filled syringes",21274024,"<=10","<=10"
"Darbepoetin alfa 300micrograms/0.6ml solution for injection pre-filled syringes",21236533,"<=10","<=10"
"Darbepoetin alfa 30micrograms/0.3ml solution for injection pre-filled syringes",21274025,"<=10","<=10"
"Darbepoetin alfa 40micrograms/0.4ml solution for injection pre-filled syringes",21255387,"<=10","<=10"
"Darbepoetin alfa 50micrograms/0.5ml solution for injection pre-filled syringes",21274026,"<=10","<=10"
"Darbepoetin alfa 60micrograms/0.3ml solution for injection pre-filled syringes",21311346,"11","<=10"
"Darbepoetin alfa 80micrograms/0.4ml solution for injection pre-filled syringes",21199584,"<=10","<=10"
"Darifenacin",21272363,"<=10","<=10"
"Darunavir 100mg/ml oral suspension sugar free",21217064,"92","<=10"
"Darunavir 600mg tablets",21254370,"42","<=10"
"Darunavir 800mg / Cobicistat 150mg tablets",21235398,"138","<=10"
"Darunavir 800mg tablets",21217053,"134","<=10"
"Dasatinib 100mg tablets",21235765,"15","<=10"
"Dasatinib 140mg tablets",21179637,"165","<=10"
"Dasatinib 20mg tablets",21217736,"<=10","<=10"
"Dasatinib 50mg tablets",21199045,"<=10","<=10"
"Daunorubicin",21234960,"<=10","21"
"Daunorubicin 20mg powder for solution for injection vials",21292554,"299","<=10"
"Daunorubicin 44mg / Cytarabine 100mg powder for solution for infusion vials",36815749,"27","<=10"
"Debrisoft pad 10cm x 10cm",21462260,"28","<=10"
"Decitabine 50mg powder for solution for infusion vials",21198353,"14","<=10"
"Deferasirox",21197937,"<=10","<=10"
"Deferasirox 180mg tablets",40698841,"29","<=10"
"Deferasirox 360mg tablets",40698839,"94","<=10"
"Deferasirox 90mg tablets",40698837,"<=10","<=10"
"Deferiprone 500mg tablets",21236829,"155","<=10"
"Defibrotide",21272365,"<=10","14"
"Defibrotide 200mg/2.5ml solution for infusion vials",21272674,"366","<=10"
"Deflazacort 6mg tablets",21292735,"<=10","<=10"
"Degarelix",21272396,"<=10","16"
"Degarelix 120mg powder and solvent for solution for injection vials",21291573,"20","<=10"
"Degarelix 80mg powder and solvent for solution for injection vials",21272930,"15","<=10"
"Demeclocycline",21178920,"<=10","94"
"Demeclocycline 150mg capsules",21180863,"36","<=10"
"Denosumab 120mg/1.7ml solution for injection vials",21254219,"376","<=10"
"Denosumab 60mg/1ml solution for injection pre-filled syringes",21310227,"27","85"
"Denzapine 100mg tablets",21313335,"<=10","<=10"
"Denzapine 200mg tablets",21203337,"<=10","<=10"
"Denzapine 25mg tablets",21313334,"27","<=10"
"Denzapine 50mg tablets",21314966,"<=10","<=10"
"Dermol 500 lotion",21237733,"<=10","20417"
"Dermol Wash cutaneous emulsion",21204020,"<=10","<=10"
"Dermovate 0.05% cream",21237668,"139","<=10"
"Desferrioxamine 2g powder for solution for injection vials",36815755,"52","<=10"
"Desferrioxamine 500mg powder for solution for injection vials",36815756,"97","<=10"
"Desloratadine",21178921,"<=10","108"
"Desloratadine 5mg tablets",21218589,"<=10","<=10"
"Desmopressin",21272154,"<=10","1810"
"Desmopressin 100microgram tablets",21311422,"695","<=10"
"Desmopressin 10micrograms/dose nasal spray",21199828,"160","<=10"
"Desmopressin 200microgram tablets",21292890,"26","<=10"
"Desmopressin 25microgram oral lyophilisates sugar free",40699358,"<=10","<=10"
"Desmopressin 4micrograms/1ml solution for injection ampoules",36815758,"306","<=10"
"Desmopressin 50microgram oral lyophilisates sugar free",40699356,"14","<=10"
"Desmopressin 60microgram oral lyophilisates sugar free",21180227,"<=10","<=10"
"Desogestrel",21309507,"<=10","519"
"Desogestrel 75microgram tablets",21199746,"555","<=10"
"Dexafree 1mg/1ml eye drops 0.4ml unit dose",21242007,"<=10","<=10"
"Dexamethasone",21309567,"<=10","39171"
"Dexamethasone (base) 6.6mg/2ml solution for injection ampoules",21198334,"23985","<=10"
"Dexamethasone 0.1% / Tobramycin 0.3% eye drops",21292750,"31","<=10"
"Dexamethasone 0.1% eye drops",21293039,"6895","1085"
"Dexamethasone 0.1% eye drops 0.4ml unit dose preservative free",21310003,"22","<=10"
"Dexamethasone 0.1% eye drops preservative free",36815762,"<=10","<=10"
"Dexamethasone 2mg tablets",21236938,"25088","<=10"
"Dexamethasone 500microgram tablets",21218439,"2300","<=10"
"Dexamfetamine",21290949,"<=10","21"
"Dexmedetomidine 1mg/10ml solution for infusion vials",21179599,"5315","<=10"
"Dexmedetomidine 400micrograms/4ml solution for infusion vials",21179598,"<=10","<=10"
"Dexrazoxane 500mg powder and solvent for solution for infusion vials",21292102,"119","<=10"
"Dialamine powder",21429661,"21","<=10"
"Diamorphine",21235018,"<=10","21"
"Diamorphine 100mg powder for solution for injection vials",21179708,"619","<=10"
"Diamorphine 10mg powder for solution for injection vials",21310262,"346","<=10"
"Diamorphine 30mg powder for solution for injection vials",21179707,"41","<=10"
"Diamorphine 500mg powder for solution for injection vials",21235722,"<=10","<=10"
"Diamorphine 5mg powder for solution for injection vials",21217252,"4536","<=10"
"Diazepam",21234363,"<=10","22"
"Diazepam",21253529,"<=10","9642"
"Diazepam 10mg tablets",21311719,"1038","<=10"
"Diazepam 10mg/2.5ml rectal solution tube",21311562,"14","<=10"
"Diazepam 10mg/2ml emulsion for injection ampoules",36815773,"41","<=10"
"Diazepam 10mg/2ml solution for injection ampoules",36815774,"160","<=10"
"Diazepam 2.5mg/1.25ml rectal solution tube",21199861,"<=10","<=10"
"Diazepam 2mg tablets",21311722,"4287","<=10"
"Diazepam 2mg/5ml oral solution",21199869,"918","<=10"
"Diazepam 2mg/ml rectal solution 2.5ml tube",21311558,"<=10","<=10"
"Diazepam 5mg tablets",21255757,"3523","<=10"
"Diazepam 5mg/5ml oral suspension",40698774,"<=10","<=10"
"Dichlorobenzyl alcohol + Amylmetacresol",21290950,"<=10","434"
"Diclofenac",21290320,"<=10","36"
"Diclofenac 100mg suppositories",21199852,"4326","<=10"
"Diclofenac 12.5mg suppositories",40698757,"<=10","<=10"
"Diclofenac 25mg suppositories",21218536,"41","<=10"
"Diclofenac 50mg suppositories",21181010,"181","<=10"
"Diclofenac 75mg/1ml solution for injection ampoules",40698754,"<=10","<=10"
"Diclofenac 75mg/3ml solution for injection ampoules",36815778,"3962","<=10"
"Diclofenac sodium 25mg gastro-resistant tablets",36815780,"<=10","<=10"
"Diclofenac sodium 3% gel",21255471,"42","<=10"
"Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets",21218464,"<=10","<=10"
"Diclofenac sodium 50mg gastro-resistant tablets",21199987,"188","<=10"
"Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets",21274165,"<=10","<=10"
"Diclofenac sodium 75mg modified-release tablets",21311685,"61","<=10"
"Dicycloverine",21290769,"<=10","78"
"Dicycloverine 10mg tablets",21181005,"23","<=10"
"Diethylamine salicylate 10% cream",21218538,"47","<=10"
"Diethylstilbestrol",21216430,"<=10","181"
"Diethylstilbestrol 1mg tablets",21311560,"<=10","<=10"
"Digibind 38mg powder for solution for injection vials",21294324,"<=10","<=10"
"Digoxin",21253531,"<=10","18635"
"Digoxin 125microgram tablets",21274354,"1866","<=10"
"Digoxin 250microgram tablets",21274355,"352","<=10"
"Digoxin 500micrograms/2ml solution for infusion ampoules",36815788,"517","<=10"
"Digoxin 50micrograms/ml oral solution",40698516,"174","<=10"
"Digoxin 62.5microgram tablets",21293019,"1487","<=10"
"Dihydrocodeine",21253532,"<=10","2305"
"Dihydrocodeine 10mg/5ml oral solution",36815790,"285","<=10"
"Dihydrocodeine 30mg tablets",21293035,"38919","<=10"
"Dihydrocodeine 60mg modified-release tablets",21274176,"58","<=10"
"Diltiazem",21272195,"<=10","3638"
"Diltiazem 120mg modified-release tablets",21311688,"98","<=10"
"Diltiazem 2% cream",21292229,"847","<=10"
"Diltiazem 200mg modified-release capsules",21274338,"60","<=10"
"Diltiazem 240mg modified-release capsules",21237140,"55","<=10"
"Diltiazem 300mg modified-release capsules",21237141,"91","<=10"
"Diltiazem 60mg modified-release capsules",21218654,"<=10","<=10"
"Diltiazem 60mg modified-release tablets",21199952,"631","<=10"
"Diltiazem 90mg modified-release capsules",21311687,"131","<=10"
"Diltiazem 90mg modified-release tablets",21293003,"236","<=10"
"Diltiazem hydrochloride",21233453,"<=10","1222"
"Dimethyl fumarate",21272435,"<=10","<=10"
"Dimethyl fumarate 120mg gastro-resistant capsules",21272685,"26","<=10"
"Dimethyl sulfoxide",21235037,"<=10","30"
"Dimeticone",21290951,"<=10","<=10"
"Dimeticone 4% lotion",21199102,"<=10","<=10"
"Dinoprostone 400micrograms/ml vaginal gel",21273951,"88","<=10"
"Dinoprostone 800micrograms/ml vaginal gel",21255326,"1450","<=10"
"Diphenhydramine",21290865,"<=10","33"
"Diphtheria (low dose) / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes",21310854,"17","<=10"
"Diphtheria / Tetanus / Pertussis (acellular component) / Hepatitis B (surface antigen) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) powder and suspension for suspension for injection 0.5ml pre-filled syringes",40698370,"<=10","<=10"
"Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes",21199298,"23","<=10"
"Diphtheria / Tetanus / Poliomyelitis (inactivated) vaccine (adsorbed) suspension for injection 0.5ml pre-filled syringes",21199383,"1792","<=10"
"Diphtheria + Tetanus + Poliomyelitis vaccine",21235080,"<=10","2044"
"Dipyridamole",21272182,"<=10","889"
"Dipyridamole-containing product",4281087,"<=10","125"
"Dipyridamole 200mg modified-release capsules",21181138,"194","<=10"
"Disodium folinate 400mg/8ml solution for infusion vials",21199480,"609","<=10"
"Disopyramide 100mg capsules",21292778,"<=10","<=10"
"Disulfiram",21234987,"<=10","13"
"Disulfiram 200mg tablets",21237035,"<=10","<=10"
"Dobutamine",21178950,"<=10","973"
"Dobutamine 250mg/50ml solution for infusion vials",21235772,"132","<=10"
"Docetaxel",21272183,"<=10","<=10"
"Docetaxel 160mg/8ml solution for infusion vials",21217184,"103","<=10"
