"condition_concept_name","condition_concept_id","UCLH","UHB"
"Dysfunction of posterior tibial tendon",45757184,"<=10","<=10"
"Dysfunction of right cardiac ventricle",43021702,"<=10","<=10"
"Dysfunction of sphincter of Oddi",4330087,"11","<=10"
"Dysfunction of vestibular system",40482014,"93","<=10"
"Dysfunctional ventilatory weaning response",4031380,"11","<=10"
"Dysfunctional voiding of urine",4090475,"109","<=10"
"Dyskaryosis on cervical smear",4095039,"<=10","<=10"
"Dyskinesia",4319906,"<=10","<=10"
"Dyskinesia of oesophagus",45548150,"<=10","120"
"Dyskinetic cerebral palsy",45586314,"<=10","<=10"
"Dyslexia",442335,"30","<=10"
"Dyslexia and alexia",45539350,"161","13"
"Dyslipidemia",4159131,"75","<=10"
"Dysmenorrhea",194696,"195","102"
"Dysmenorrhoea, unspecified",45606522,"161","31"
"Dysmetria",4139442,"<=10","<=10"
"Dysmotility of stomach",4113427,"<=10","<=10"
"Dyspareunia",439080,"38","<=10"
"Dyspareunia",45534149,"37","<=10"
"Dysphagia",31317,"850","50"
"Dysphagia",45573013,"<=10","2414"
"Dysphagia as a late effect of cerebrovascular accident",443465,"<=10","<=10"
"Dysphasia",441594,"34","45"
"Dysphasia and aphasia",45592421,"719","757"
"Dysphonia",45558473,"<=10","108"
"Dysplasia of anus",76472,"<=10","<=10"
"Dysplasia of cervix",192367,"60","<=10"
"Dysplasia of cervix uteri, unspecified",45582427,"23","<=10"
"Dysplasia of colon",4204811,"<=10","<=10"
"Dysplasia of larynx",4143291,"<=10","<=10"
"Dysplasia of prostate",45543873,"<=10","<=10"
"Dysplasia of vocal cord",4147413,"<=10","<=10"
"Dysplastic nevus of skin",4112849,"<=10","<=10"
"Dyspnea",312437,"641","7533"
"Dyspnea on exertion",4263848,"101","<=10"
"Dyspnoea",45558449,"2192","2995"
"Dyspraxia",4290260,"<=10","<=10"
"Dysprealbuminemic euthyroidal hyperthyroxinemia",4034822,"<=10","<=10"
"Dysthymia",433440,"<=10","<=10"
"Dysthymia",45586238,"34","<=10"
"Dysthyroid exophthalmos",45542958,"<=10","12"
"Dystonia",375800,"269","<=10"
"Dystonia, unspecified",45552518,"215","48"
"Dystonic tremor",4141836,"22","<=10"
"Dystonic/rigid cerebral palsy",4048800,"<=10","<=10"
"Dystrophia unguium",4336254,"<=10","<=10"
"Dysuria",197684,"24","420"
"Dysuria",45592416,"<=10","312"
"Ear canal finding",4090401,"<=10","<=10"
"Ear discharge",4101068,"<=10","42"
"Ear examination normal",4039300,"<=10","<=10"
"Ear pressure sensation",4036969,"<=10","<=10"
"Ear problem",4114472,"<=10","<=10"
"Ear, nose and throat disorder",4339468,"<=10","<=10"
"Earache symptom",4038037,"<=10","420"
"Early-onset cerebellar ataxia",45600769,"<=10","16"
"Early gastric cancer",4174763,"48","<=10"
"Early infantile epileptic encephalopathy with suppression bursts",4043414,"<=10","<=10"
"Early neonatal death",4307303,"<=10","<=10"
"Early satiety",40481819,"<=10","<=10"
"Early stage of pregnancy",4193062,"<=10","<=10"
"Easy bruising",4314452,"<=10","<=10"
"Eating disorder",439002,"41","20"
"Eating disorder, unspecified",45547713,"133","36"
"Eating problem",4085365,"<=10","<=10"
"Eaton-Lambert syndrome",4237155,"<=10","<=10"
"Ebstein's anomaly",4069182,"<=10","<=10"
"Ebstein anomaly",45553668,"<=10","<=10"
"Ecchymosis",4118793,"<=10","<=10"
"Eccrine porocarcinoma",4112753,"<=10","<=10"
"Eccrine poroma",4266187,"<=10","<=10"
"ECG normal",4065279,"<=10","<=10"
"ECG: atrial fibrillation",4064452,"<=10","<=10"
"ECG: bradycardia",4142566,"<=10","<=10"
"ECG: normal sinus rhythm",4142265,"<=10","<=10"
"ECG: paced rhythm",4142412,"<=10","<=10"
"ECG: Q-T interval abnormal",4064627,"<=10","<=10"
"ECG: QRS complex normal",4064468,"<=10","<=10"
"ECG: sinus tachycardia",4140598,"<=10","<=10"
"Echinococcosis",440043,"<=10","<=10"
"Echinococcosis of liver",195749,"<=10","<=10"
"Echinococcus granulosus infection",432831,"<=10","<=10"
"Echinococcus granulosus infection of liver",45566561,"<=10","<=10"
"Echinococcus granulosus infection of multiple sites",45772092,"<=10","<=10"
"Echinococcus multilocularis infection",434868,"<=10","<=10"
"Echinococcus multilocularis infection of liver",193142,"<=10","<=10"
"Echinococcus multilocularis infection of liver",45595624,"42","<=10"
"Echocardiogram abnormal",4059699,"<=10","<=10"
"Echocardiogram normal",4060628,"15","<=10"
"Eclampsia",443700,"<=10","<=10"
"Eclampsia in the puerperium",45567889,"<=10","<=10"
"Eclampsia, unspecified as to time period",45567890,"<=10","<=10"
"Ectatic coronary artery",4298082,"<=10","<=10"
"Ectodermal dysplasia (anhidrotic)",45572995,"<=10","<=10"
"Ectopic ACTH syndrome",45600652,"<=10","<=10"
"Ectopic atrial beats",4236004,"<=10","<=10"
"Ectopic atrial tachycardia",4121479,"<=10","<=10"
"Ectopic beats",4143042,"<=10","<=10"
"Ectopic fetus",4177974,"<=10","<=10"
"Ectopic kidney",45539288,"<=10","24"
"Ectopic pituitary tissue",4277102,"<=10","<=10"
"Ectopic pregnancy",437611,"366","<=10"
"Ectopic pregnancy, unspecified",45572743,"40","<=10"
"Ectopic tooth",4182260,"<=10","<=10"
"Ectrodactyly-ectodermal dysplasia-clefting syndrome",4219588,"<=10","<=10"
"Ectropion",376132,"<=10","<=10"
"Ectropion of cervix",4194792,"21","<=10"
"Ectropion of eyelid",45533184,"29","16"
"Ectropion of right lower eyelid",36684645,"<=10","<=10"
"Eczema",133835,"660","145"
"Eczema herpeticum",137792,"22","<=10"
"Eczema herpeticum",45561735,"<=10","<=10"
"Eczema of external auditory canal",4320811,"<=10","<=10"
"Edema",433595,"<=10","<=10"
"Edema of bone marrow",36713297,"14","<=10"
"Edema of extremity",4309070,"<=10","<=10"
"Edema of eyelid",374950,"<=10","<=10"
"Edema of face",40482052,"<=10","<=10"
"Edema of glottis",4009044,"<=10","<=10"
"Edema of larynx",22350,"<=10","<=10"
"Edema of left lower leg",37311252,"<=10","<=10"
"Edema of lower extremity",4010971,"18","<=10"
"Edema of lower leg",42709835,"<=10","<=10"
"Edema of optic disc of bilateral eyes",36717015,"<=10","<=10"
"Edema of scrotum",4230799,"<=10","<=10"
"Edema of uvula",4049236,"<=10","<=10"
"Edema of vulva",4265394,"<=10","<=10"
"Edentulous",4150442,"<=10","<=10"
"Educational maladjustment and discord with teachers and classmates",45556848,"<=10","<=10"
"Effects of electric current",45585202,"<=10","<=10"
"Effects of hunger",45609285,"<=10","<=10"
"Effusion of joint",79903,"<=10","<=10"
"Effusion of joint",45562695,"<=10","<=10"
"Effusion of joint of hand",78834,"<=10","<=10"
"Effusion of joint of left knee",36684501,"<=10","<=10"
"Effusion of joint of pelvic region",4247710,"<=10","<=10"
"Effusion of joint, ankle and foot",42617247,"99","118"
"Effusion of joint, forearm",42617243,"19","28"
"Effusion of joint, hand",42617244,"<=10","<=10"
"Effusion of joint, lower leg",42617246,"157","274"
"Effusion of joint, multiple sites",42617241,"<=10","15"
"Effusion of joint, other",42617248,"<=10","<=10"
"Effusion of joint, pelvic region and thigh",42617245,"18","42"
"Effusion of joint, shoulder region",42619347,"<=10","35"
"Effusion of joint, upper arm",42617242,"<=10","13"
"Effusion of sternoclavicular joint",4117742,"<=10","<=10"
"Ehlers-Danlos syndrome",79145,"188","<=10"
"Ehlers-Danlos syndrome",45587483,"410","93"
"Ehlers-Danlos syndrome, dominant type 4",4315048,"<=10","<=10"
"Ehlers-Danlos syndrome, type 1",4307510,"<=10","<=10"
"Eisenmenger ventricular septal defect",37311139,"<=10","<=10"
"Ejection murmur",4299390,"<=10","<=10"
"EKG: heart block",4064457,"<=10","<=10"
"EKG: left bundle branch block",4064614,"<=10","<=10"
"EKG: Q wave abnormal",4065386,"<=10","<=10"
"EKG: right bundle branch block",4064460,"<=10","<=10"
"EKG: supraventricular tachycardia",4145510,"<=10","<=10"
"Elbow fracture",4205238,"32","<=10"
"Elbow fracture - closed",4118792,"311","175"
"Elbow fracture - open",4118794,"14","<=10"
"Elbow joint pain",4116166,"<=10","<=10"
"Elbow joint unstable",4185800,"<=10","<=10"
"Elbow stiff",4093193,"<=10","<=10"
"Elderly primigravida",441085,"103","<=10"
"Elderly primigravida with antenatal problem",442442,"<=10","<=10"
"Elective mutism",4217365,"<=10","<=10"
"Elective mutism",45562068,"17","<=10"
"Electrocardiogram abnormal",320536,"21","<=10"
"Electroencephalogram abnormal",4168553,"<=10","<=10"
"Electrolyte imbalance",4022093,"<=10","<=10"
"Electromechanical dissociation",4122762,"<=10","<=10"
"Elevated blood-pressure reading without diagnosis of hypertension",141693,"<=10","<=10"
"Elevated blood-pressure reading, without diagnosis of hypertension",45553712,"478","216"
"Elevated diaphragm",4228213,"14","<=10"
"Elevated erythrocyte sedimentation rate",45592428,"<=10","<=10"
"Elevated urine levels of drugs, medicaments and biological substances",45582724,"26","<=10"
"Elevation of levels of transaminase and lactic acid dehydrogenase [LDH]",45568148,"<=10","58"
"Embedded teeth",45548133,"<=10","<=10"
"Embolic stroke",4153352,"23","<=10"
"Embolism",4185607,"<=10","<=10"
"Embolism and thrombosis of abdominal aorta",45576916,"15","31"
"Embolism and thrombosis of an arm or leg artery",314965,"<=10","<=10"
"Embolism and thrombosis of arteries of extremities, unspecified",45581815,"<=10","<=10"
"Embolism and thrombosis of arteries of lower extremities",45533500,"<=10","103"
"Embolism and thrombosis of arteries of upper extremities",45533499,"24","18"
"Embolism and thrombosis of iliac artery",45586626,"46","41"
"Embolism and thrombosis of other and unspecified parts of aorta",45572131,"<=10","21"
"Embolism and thrombosis of other arteries",45572132,"<=10","73"
"Embolism and thrombosis of other specified veins",45586638,"298","190"
"Embolism and thrombosis of renal vein",45567233,"<=10","30"
"Embolism and thrombosis of unspecified artery",45557591,"<=10","<=10"
"Embolism and thrombosis of unspecified vein",45572145,"<=10","<=10"
"Embolism and thrombosis of vena cava",45581818,"68","84"
"Embolism due to any device, implant AND/OR graft",4337373,"<=10","<=10"
"Embolism following abortion and ectopic and molar pregnancy",45558191,"<=10","<=10"
"Embryonal rhabdomyosarcoma",4300682,"<=10","<=10"
"Embryonic cyst of fallopian tube",45582652,"<=10","<=10"
"Embryonic cyst of Gartner's duct",4221258,"<=10","<=10"
"Embryonic fimbrial cyst",4275884,"34","<=10"
"Emergency use of U07.1 | COVID-19, virus identified",45756093,"<=10","7588"
"Emergency use of U07.3",45756095,"1097","691"
"Emergency use of U07.4",45756096,"50","46"
"Emergency use of U07.5",45756097,"<=10","<=10"
"Emergency use of U07.6",45756098,"64","11"
"Emergency use of U07.7",45756099,"<=10","21"
"Emergency use of U07.9",45756101,"<=10","<=10"
"Emery-Dreifuss muscular dystrophy",4009185,"<=10","<=10"
"Emotional neglect of child",45547332,"<=10","<=10"
"Emotional stress",40483106,"<=10","<=10"
"Emotional upset",439791,"<=10","<=10"
"Emotionally unstable personality disorder",4103399,"42","<=10"
"Emotionally unstable personality disorder",45566852,"<=10","426"
"Emphysema, unspecified",45567264,"1763","2869"
"Emphysematous bronchitis",258780,"<=10","<=10"
"Empty sella syndrome",4029448,"<=10","<=10"
"Empyema",4209859,"39","<=10"
"Empyema of gallbladder",4247767,"<=10","<=10"
"Empyema of pleura",4238808,"38","12"
"Empyema with fistula",261883,"<=10","<=10"
"Encephalitis",378143,"90","46"
"Encephalitis due to Herpesviridae",376026,"<=10","<=10"
"Encephalitis due to human herpes simplex virus",4322568,"<=10","<=10"
"Encephalitis, myelitis and encephalomyelitis",4147498,"<=10","<=10"
"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",45576569,"<=10","<=10"
"Encephalitis, myelitis and encephalomyelitis in other diseases classified elsewhere",45571787,"13","<=10"
"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases classified elsewhere",45562074,"<=10","<=10"
"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",45591158,"17","15"
"Encephalitis, myelitis and encephalomyelitis, unspecified",45562073,"<=10","95"
"Encephalocele",432419,"<=10","<=10"
"Encephalocele of other sites",45577717,"<=10","<=10"
"Encephalocele, unspecified",45597101,"<=10","<=10"
"Encephalomalacia",4243203,"<=10","<=10"
"Encephalomyelitis",373189,"<=10","<=10"
"Encephalopathy, unspecified",45557261,"<=10","188"
"Enchondroma of bone",40481911,"<=10","<=10"
"Enchondroma of hand bone",4310564,"<=10","<=10"
"End-stage renal disease",193782,"34","183"
"End stage renal failure on dialysis",4030520,"18","<=10"
"Endocardial fibroelastosis",314370,"<=10","<=10"
"Endocardial fibroelastosis",45543175,"<=10","<=10"
"Endocarditis",441589,"27","22"
"Endocarditis, valve unspecified",45543172,"85","44"
"Endocervical polyp",4220210,"14","<=10"
"Endocrine disorder, unspecified",45595814,"<=10","<=10"
"Endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",45534321,"<=10","<=10"
"Endolymphatic hydrops",4321746,"<=10","<=10"
"Endometrial adenomatous hyperplasia",45606512,"12","<=10"
"Endometrial carcinoma",4110871,"55","<=10"
"Endometrial carcinosarcoma",37115735,"<=10","<=10"
"Endometrial disorder",4303951,"<=10","<=10"
"Endometrial hyperplasia",200775,"<=10","<=10"
"Endometrioid carcinoma ovary",4112857,"11","<=10"
"Endometriosis (clinical)",433527,"924","86"
"Endometriosis in cutaneous scar",45572724,"<=10","<=10"
"Endometriosis in scar of skin",139882,"<=10","<=10"
"Endometriosis interna",4058381,"<=10","<=10"
"Endometriosis of cervix",4189364,"<=10","<=10"
"Endometriosis of fallopian tube",194420,"15","<=10"
"Endometriosis of fallopian tube",45567861,"41","<=10"
"Endometriosis of intestine",194421,"<=10","<=10"
"Endometriosis of intestine",45592150,"<=10","<=10"
"Endometriosis of large intestine",36717630,"<=10","<=10"
"Endometriosis of ovary",199881,"135","<=10"
"Endometriosis of ovary",45582422,"<=10","<=10"
"Endometriosis of pelvic peritoneum",197033,"<=10","<=10"
"Endometriosis of pelvic peritoneum",45606506,"134","<=10"
"Endometriosis of pelvis",4132140,"<=10","<=10"
"Endometriosis of rectovaginal septum",4200841,"112","<=10"
"Endometriosis of rectovaginal septum and vagina",45601749,"57","<=10"
"Endometriosis of rectum",4317964,"<=10","<=10"
"Endometriosis of uterus",200461,"81","<=10"
"Endometriosis of uterus",45563025,"343","21"
"Endometriosis of vagina",4211992,"11","<=10"
"Endometriosis of vulva",4307585,"<=10","<=10"
"Endometriosis, unspecified",45543892,"<=10","205"
"Endometritis",4302765,"17","<=10"
"Endometrium normal",4209854,"<=10","<=10"
"Endometrium thickened",40486585,"63","<=10"
"Endomyocardial (eosinophilic) disease",45533450,"<=10","<=10"
"Endoscopy arranged",4065513,"15","<=10"
"Endoscopy carried out",4064598,"60","<=10"
"Endotoxic shock",4155957,"<=10","<=10"
"Endotracheal tube present",4168966,"24","<=10"
"Enduring personality change, unspecified",45586250,"<=10","<=10"
"English language interpreter needed",44792374,"<=10","<=10"
"Enlarged lymph nodes, unspecified",45563319,"<=10","43"
"Enlargement of tongue",437979,"<=10","<=10"
"Enophthalmos",45576652,"<=10","<=10"
"Enteric campylobacteriosis",198334,"44","<=10"
"Enterobiasis",197223,"<=10","<=10"
"Enterocolitis due to Clostridium difficile",45552153,"<=10","504"
"Enterocutaneous fistula",4055202,"32","<=10"
"Enteropathic arthritis",4247084,"88","<=10"
"Enteropathy-type (intestinal) T-cell lymphoma",45600561,"<=10","<=10"
"Enteroptosis",45567319,"<=10","<=10"
"Enterostomy infection",4252862,"<=10","<=10"
"Enterostomy malfunction",4055748,"<=10","<=10"
"Enterotoxigenic Escherichia coli infection",45585893,"<=10","<=10"
"Enteroviral exanthematous fever [Boston exanthem]",45581134,"<=10","<=10"
"Enteroviral vesicular stomatitis with exanthem",4141481,"<=10","<=10"
"Enteroviral vesicular stomatitis with exanthem",45585948,"<=10","<=10"
"Enterovirus as the cause of diseases classified to other chapters",45537783,"<=10","<=10"
"Enterovirus infection, unspecified site",45571466,"<=10","<=10"
"Enthesitis",4231746,"<=10","<=10"
"Enthesopathy",73008,"<=10","<=10"
"Enthesopathy of lower limb, unspecified",45538865,"<=10","<=10"
"Enthesopathy of lower limb, unspecified, lower leg",42493354,"<=10","<=10"
"Enthesopathy, unspecified",45591933,"<=10","<=10"
"Enthesopathy, unspecified, ankle and foot",42618428,"<=10","<=10"
"Enthesopathy, unspecified, forearm",42618424,"<=10","<=10"
"Enthesopathy, unspecified, hand",42618425,"<=10","<=10"
"Enthesopathy, unspecified, lower leg",42618427,"<=10","<=10"
"Enthesopathy, unspecified, multiple sites",42618421,"<=10","<=10"
"Enthesopathy, unspecified, other",42618429,"<=10","<=10"
"Enthesopathy, unspecified, pelvic region and thigh",42618426,"<=10","<=10"
"Enthesopathy, unspecified, shoulder region",42618422,"<=10","<=10"
"Enthesopathy, unspecified, site unspecified",42618430,"71","<=10"
"Enthesopathy, unspecified, upper arm",42618423,"<=10","<=10"
"Entropion and trichiasis of eyelid",45595977,"<=10","11"
"Environment related disease",4224515,"<=10","<=10"
"Enzyme level - finding",4276560,"19","<=10"
"Eosinophil count above reference range",4304002,"28","<=10"
"Eosinophilia",45586121,"128","23"
"Eosinophilic colitis",77923,"<=10","<=10"
"Eosinophilic esophagitis",27918,"51","<=10"
"Eosinophilic gastritis",195309,"<=10","<=10"
"Eosinophilic granulomatosis with polyangiitis",4305666,"19","<=10"
"Ependymoma",40482745,"16","<=10"
"Ependymoma of brain",4112960,"<=10","<=10"
"Ependymoma of central nervous system",36684471,"<=10","<=10"
"Ependymoma of spinal cord",4116096,"<=10","<=10"
"Epicondylitis",4249170,"<=10","<=10"
"Epicranial subaponeurotic hematoma",37205099,"<=10","<=10"
"Epidemic myalgia",45581155,"<=10","<=10"
"Epidemic vertigo",437496,"105","15"
"Epidemic vertigo",45576250,"<=10","<=10"
"Epidermal cyst",45591644,"90","12"
"Epidermal thickening, unspecified",45606000,"<=10","<=10"
"Epidermoid cyst",4170770,"38","<=10"
"Epidermoid cyst of skin",137351,"228","159"
"Epidermoid cyst of skin of face",40490340,"<=10","<=10"
"Epididymitis",4150043,"28","<=10"
"Epididymo-orchitis with abscess",443879,"<=10","<=10"
"Epidural abscess",4268039,"12","<=10"
"Epidural haemorrhage",45563417,"<=10","<=10"
"Epidural haemorrhage, with open intracranial wound",45755780,"<=10","<=10"
"Epidural haemorrhage, without open intracranial wound",45755779,"<=10","61"
"Epidural lipomatosis",4145059,"<=10","<=10"
"Epigastric discomfort",4002232,"<=10","<=10"
"Epigastric hernia",4128844,"45","<=10"
"Epigastric pain",197381,"59","<=10"
"Epiglottitis",4214374,"<=10","<=10"
"Epilepsy",380378,"975","188"
"Epilepsy characterized by intractable complex partial seizures",40483585,"<=10","<=10"
"Epilepsy in mother complicating pregnancy",45757050,"<=10","<=10"
"Epilepsy undetermined whether focal or generalized",4046218,"<=10","<=10"
"Epilepsy, not refractory",4310999,"<=10","<=10"
"Epilepsy, unspecified",45562083,"<=10","2827"
"Epileptic encephalopathy",36716897,"<=10","<=10"
"Epileptic psychosis",4338020,"<=10","<=10"
"Epileptic seizure",4197485,"19","<=10"
"Epinephrine deficiency",4009782,"<=10","<=10"
"Epiphora",45566940,"<=10","<=10"
"Epiretinal membrane",379010,"<=10","<=10"
"Epiretinal membrane of right eye",36684641,"<=10","<=10"
"Episcleritis",4218083,"<=10","<=10"
"Episcleritis",45591265,"<=10","<=10"
"Episcleritis of left eye",36684720,"<=10","<=10"
"Episiotomy infection",4102125,"<=10","<=10"
"Episodic cluster headache",380093,"<=10","<=10"
"Episodic opioid dependence",440379,"<=10","<=10"
"Episodic tension-type headache",377545,"<=10","<=10"
"Epispadias",433583,"11","<=10"
"Epispadias",45534395,"<=10","<=10"
"Epistaxis",318556,"<=10","710"
"Epistaxis",45606791,"549","467"
"Epithelial ovarian tumor, FIGO stage IIIC",45769745,"16","<=10"
"Epithelial ovarian tumor, FIGO stage IVB",45769749,"41","<=10"
"Epithelioid hemangioendothelioma of lung",4111807,"<=10","<=10"
"Epstein-Barr virus disease",4345472,"88","<=10"
"Equinus contracture of the ankle",4115205,"<=10","<=10"
"Equipment error/failure",4134746,"<=10","<=10"
"Equipment finding",4108462,"<=10","<=10"
"Equipment malfunction",4262315,"<=10","<=10"
"Erectile dysfunction following radical cystectomy",37109306,"<=10","<=10"
"Erectile dysfunction following radical prostatectomy",37109307,"270","<=10"
"Erosion and ectropion of cervix uteri",45592153,"61","<=10"
"Erosion of teeth",438783,"14","<=10"
"Erosion of teeth",45572183,"<=10","<=10"
"Erosive (osteo)arthrosis",45596491,"16","<=10"
"Erosive gastritis",45757242,"<=10","<=10"
"Erosive osteoarthrosis",4116451,"17","<=10"
"Erosive pustular dermatosis of the scalp",4081085,"<=10","<=10"
"Eruption",140214,"254","443"
"Eruption due to drug",4103376,"15","<=10"
"Eruption of vulva",4126897,"<=10","<=10"
"Erysipelas",138346,"<=10","<=10"
"Erysipelas",45561706,"<=10","<=10"
"Erythema",137193,"<=10","<=10"
"Erythema ab igne [dermatitis ab igne]",45557707,"<=10","<=10"
"Erythema chronica migrans",4289612,"<=10","<=10"
"Erythema infectiosum [fifth disease]",45542551,"<=10","<=10"
"Erythema intertrigo",45601221,"<=10","27"
"Erythema multiforme",132702,"20","<=10"
"Erythema multiforme, unspecified",45572274,"<=10","12"
"Erythema nodosum",140176,"31","<=10"
"Erythema nodosum",45552985,"38","17"
"Erythematous condition, unspecified",45577042,"<=10","178"
"Erythrocyte sedimentation rate above reference range",4013526,"<=10","<=10"
"Erythrocytosis",4130681,"216","<=10"
"Erythroderma",4270887,"<=10","<=10"
"Erythrodermic eczema",4266652,"<=10","<=10"
"Erythrodermic psoriasis",4307927,"<=10","<=10"
"Erythroleukemia, FAB M6 in remission",4139358,"<=10","<=10"
"Erythromelalgia",134380,"<=10","<=10"
"Erythroplakia of mouth",4238875,"<=10","<=10"
"Erythropoietic protoporphyria",4177022,"<=10","<=10"
"Escape of urine from ureter",4128381,"<=10","<=10"
"Escherichia coli [E. coli] as the cause of diseases classified to other chapters",45566566,"<=10","1525"
"Esophageal anastomotic leak",4340523,"<=10","<=10"
"Esophageal bleeding",23245,"<=10","<=10"
"Esophageal bleeding due to ulcerative esophagitis",4232237,"<=10","<=10"
"Esophageal body web",4329454,"<=10","<=10"
"Esophageal diverticulum",4187895,"<=10","<=10"
"Esophageal dysmotility",4148247,"<=10","<=10"
"Esophageal dysphagia",4254223,"<=10","<=10"
"Esophageal fistula",4149721,"<=10","<=10"
"Esophageal mass",4103988,"<=10","<=10"
"Esophageal varices",24966,"18","<=10"
"Esophageal varices associated with another disorder",4111998,"<=10","<=10"
"Esophageal web",4078921,"<=10","<=10"
"Esophagitis",30753,"46","<=10"
"Esotropia",377877,"<=10","<=10"
"Essential (haemorrhagic) thrombocythaemia",45576400,"<=10","140"
"Essential (primary) hypertension",45591453,"33339","39451"
"Essential hypertension",320128,"197","1056"
"Essential hypertension complicating AND/OR reason for care during puerperium",4321603,"<=10","<=10"
"Essential hypertension in obstetric context",4217486,"<=10","<=10"
"Essential thrombocythemia",438383,"185","<=10"
"Essential tremor",43531003,"37","<=10"
"Essential tremor",45533132,"<=10","169"
"Eumycetoma",45590855,"<=10","<=10"
"Eumycotic mycetoma",194586,"<=10","<=10"
"Eustachian salpingitis",45567130,"<=10","<=10"
"Eustachian tube disorder",372324,"<=10","<=10"
"Eustachian tube disorder, unspecified",45533395,"<=10","<=10"
"Euthyroid goiter",45757681,"<=10","<=10"
"Evaluation finding",40480457,"<=10","<=10"
"Evans syndrome",436956,"<=10","<=10"
"Event of undetermined intent",4168818,"<=10","<=10"
"Ewing's sarcoma of bone",4144193,"869","<=10"
"Ewing's sarcoma of soft tissue",40487487,"11","<=10"
"Ewing sarcoma of bone of pelvis",37018581,"423","<=10"
"Ewing sarcoma of bone structure of upper limb",37018645,"<=10","<=10"
"Ex-cigarette smoker",4092281,"<=10","<=10"
"Ex-heavy cigarette smoker (20-39/day)",4141783,"<=10","<=10"
"Ex-heavy smoker (20-39/day)",35610343,"<=10","<=10"
"Ex-light cigarette smoker (1-9/day)",4145798,"<=10","<=10"
"Ex-smoker",4310250,"316","<=10"
"Exacerbation of Crohn's disease of small intestine",4212992,"<=10","<=10"
"Exacerbation of eczema",4047214,"<=10","<=10"
"Exacerbation of multiple sclerosis",4102337,"<=10","<=10"
"Exacerbation of ulcerative colitis",4187900,"<=10","<=10"
"Examination and observation following other accident",45561609,"<=10","32"
"Examination and observation following other inflicted injury",45576130,"<=10","<=10"
"Examination and observation following transport accident",45581004,"<=10","<=10"
"Examination and observation for other specified reasons",45552063,"<=10","<=10"
"Examination and observation for unspecified reason",45605102,"<=10","<=10"
"Examination for normal comparison and control in clinical research programme",45595478,"23","<=10"
"Examination of ears and hearing",45547279,"<=10","<=10"
"Examination of eyes and vision",45566391,"<=10","<=10"
"Exceptionally large at birth",434758,"29","<=10"
"Excessive and frequent menstruation with irregular cycle",45539073,"25","<=10"
"Excessive and frequent menstruation with regular cycle",45577544,"535","186"
"Excessive and redundant skin and subcutaneous tissue",42616304,"<=10","<=10"
"Excessive attrition of teeth",438451,"65","<=10"
"Excessive cerumen in ear canal",4131101,"<=10","<=10"
"Excessive fetal growth affecting management of mother",81636,"43","<=10"
"Excessive menstruation at puberty",45543903,"<=10","<=10"
"Excessive salivation",4207204,"<=10","<=10"
"Excessive sweating",4203638,"<=10","<=10"
"Excessive thirst",432454,"<=10","<=10"
"Excoriation of skin",4082583,"<=10","<=10"
"Exercise-induced angina",4116486,"11","<=10"
"Exercise-induced asthma",443801,"<=10","<=10"
"Exercise tolerance test abnormal",4064487,"<=10","<=10"
"Exfoliation of teeth due to systemic causes",45601143,"<=10","<=10"
"Exfoliative dermatitis",45581939,"<=10","<=10"
"Exocrine pancreatic insufficiency",4186463,"36","<=10"
"Exomphalos",45606774,"<=10","<=10"
"Exophoria",380109,"<=10","<=10"
"Exophthalmic conditions",45571878,"<=10","32"
"Exophthalmos",436700,"<=10","<=10"
"Exostosis",72715,"<=10","<=10"
"Exostosis of jaw",439053,"<=10","<=10"
"Exotropia",377294,"<=10","<=10"
"Expected difficult tracheal intubation",37397720,"96","<=10"
"Explosion and rupture of gas cylinder, home",42502610,"<=10","<=10"
"Explosion and rupture of other specified pressurized devices, residential institution",42502633,"<=10","<=10"
"Explosion and rupture of unspecified gas cylinder",45609733,"<=10","<=10"
"Explosion of other materials, industrial and construction area",42502660,"<=10","<=10"
"Explosion of other materials, trade and service area",42502659,"<=10","<=10"
"Explosion of other specified explosive materials",45547088,"<=10","<=10"
"Explosion of unspecified explosive materials",45537420,"<=10","<=10"
"Exposure keratoconjunctivitis",379812,"<=10","<=10"
"Exposure to air pollution",45542442,"79","48"
"Exposure to asbestos",44783302,"19","<=10"
"Exposure to bed fire",45590527,"<=10","11"
"Exposure to blood and/or body fluid",4167539,"<=10","427"
"Exposure to carbon monoxide",4318114,"<=10","<=10"
"Exposure to communicable disease",40485017,"27","<=10"
"Exposure to controlled fire in building or structure, unspecified place",42503213,"<=10","<=10"
"Exposure to controlled fire, not in building or structure, unspecified place",42503224,"<=10","<=10"
"Exposure to domestic wiring and appliances",45590507,"<=10","<=10"
"Exposure to drug or medicament",46272990,"<=10","<=10"
"Exposure to excessive cold of man-made origin, industrial and construction area",42503155,"<=10","<=10"
"Exposure to excessive natural cold, home",42503506,"<=10","<=10"
"Exposure to excessive natural cold, residential institution",42503507,"<=10","<=10"
"Exposure to excessive natural cold, unspecified place",42503515,"<=10","<=10"
"Exposure to excessive natural heat, street and highway",42503499,"<=10","<=10"
"Exposure to flames in controlled fire in building or structure",45537460,"<=10","<=10"
